[SUCCESS] Buyer: Buyer_5 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_2 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_14 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_15 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_12 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_3 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_6 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_10 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_8 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_11 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_13 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_7 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_18 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_1 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_9 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_4 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_17 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_20 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_19 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_26 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_21 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_16 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_22 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_27 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_29 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_30 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_23 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_24 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_25 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_28 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_34 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_35 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_36 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_38 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_46 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_32 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_40 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_39 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_33 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_37 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_47 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_41 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_45 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_31 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_42 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_43 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_44 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_49 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_50 bought 1 units | Student ID: p20240012
[SUCCESS] Buyer: Buyer_48 bought 1 units | Student ID: p20240012
